0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	0	100	0
0	112	0	1	0	0
111	0	1	0	1	0
1	0	0	0	125	0
112	8	1	3	2	0
4	1	0	119	2	0
122	0	2	0	2	0
6	10	2	0	112	0
129	0	1	0	0	0
2	1	1	125	3	0
131	1	0	0	0	0
128	0	2	1	1	0
3	0	0	1	130	0
118	10	2	1	3	0
133	0	0	1	0	0
8	105	1	20	0	0
130	0	0	1	3	0
4	2	4	1	123	0
3	129	0	2	0	0
129	1	2	1	1	0
10	47	41	0	36	0
132	0	1	1	0	0
117	1	3	4	9	0
132	1	0	0	1	0
133	1	0	0	0	0
0	1	131	1	1	0
128	0	1	4	1	0
9	1	121	1	2	0
132	0	2	0	0	0
6	132	1	1	0	0
127	0	1	0	12	0
139	0	1	0	0	0
7	3	0	1	133	0
138	1	2	3	0	0
0	0	2	0	142	0
132	5	1	4	2	0
8	124	1	11	0	0
141	0	2	0	1	0
2	2	1	137	2	0
129	11	1	1	2	0
143	0	1	0	0	0
3	139	1	0	1	0
140	0	1	0	3	0
22	4	1	115	2	0
143	0	1	0	0	0
0	4	1	138	1	0
138	0	2	1	3	0
5	66	67	0	6	0
140	0	0	2	2	0
6	130	1	4	3	0
131	6	3	3	1	0
11	2	1	130	0	0
138	2	4	0	0	0
143	1	0	0	0	0
0	2	1	140	1	0
131	10	2	0	1	0
24	113	1	6	0	0
142	0	0	2	0	0
0	140	2	1	2	0
143	0	0	1	1	0
0	141	2	1	1	0
143	0	1	0	1	0
2	118	17	6	2	0
144	0	0	0	1	0
133	2	5	5	0	0
13	10	5	113	5	0
141	0	2	1	2	0
144	0	2	0	0	0
1	4	1	138	2	0
144	2	0	0	0	0
6	1	2	0	137	0
145	1	0	0	0	0
132	1	8	1	4	0
39	0	103	1	3	0
145	0	0	0	1	0
5	1	134	3	4	0
146	1	0	0	0	0
141	2	0	3	1	0
1	3	142	0	1	0
146	0	0	0	1	0
143	0	0	3	1	0
7	137	0	1	2	0
138	5	2	1	1	0
3	0	0	1	143	0
146	0	1	0	0	0
133	6	0	3	5	0
4	117	3	21	2	0
136	0	1	3	7	0
6	6	3	0	132	0
139	7	1	0	0	0
15	124	3	1	4	0
143	1	2	1	0	0
0	138	2	7	0	0
145	0	0	2	0	0
6	1	3	1	136	0
143	1	0	3	0	0
6	3	136	2	0	0
132	7	4	1	3	0
146	0	1	0	0	0
23	120	2	1	1	0
141	1	0	2	3	0
3	144	0	0	0	0
144	0	3	0	0	0
0	144	1	0	2	0
3	8	1	114	21	0
128	2	10	4	3	0
146	1	0	0	0	0
37	3	102	4	1	0
146	0	0	0	1	0
145	0	0	0	2	0
10	3	131	2	1	0
141	1	0	3	2	0
1	1	142	2	1	0
143	2	0	1	1	0
1	3	141	1	1	0
146	0	0	1	0	0
18	127	0	1	1	0
145	0	1	0	1	0
0	139	1	4	3	0
133	10	2	1	1	0
146	0	1	0	0	0
0	143	1	2	1	0
145	0	0	0	2	0
6	3	136	0	2	0
146	0	0	1	0	0
143	0	2	2	0	0
6	137	1	3	0	0
146	0	0	1	0	0
146	0	1	0	0	0
129	1	3	2	12	0
142	2	1	0	2	0
3	1	0	0	143	0
145	0	0	2	0	0
7	1	138	0	1	0
127	13	5	1	1	0
23	121	1	2	0	0
146	0	0	0	1	0
5	138	0	2	2	0
141	1	1	3	1	0
1	140	3	2	1	0
141	1	0	1	4	0
5	2	32	1	107	0
146	1	0	0	0	0
14	6	1	119	7	0
142	1	3	0	1	0
0	5	3	135	4	0
130	1	2	5	9	0
1	0	4	1	141	0
139	2	2	2	2	0
6	1	1	1	138	0
146	0	0	1	0	0
6	1	135	2	3	0
140	0	4	3	0	0
9	135	1	2	0	0
0	140	2	3	2	0
124	10	1	1	11	0
146	0	0	1	0	0
4	0	19	0	125	0
15	125	1	1	6	0
146	1	0	0	1	0
2	128	0	16	2	0
128	12	4	1	3	0
145	2	0	1	0	0
5	3	139	1	0	0
142	6	0	0	0	0
146	2	0	0	0	0
14	129	0	5	0	0
143	1	3	0	1	0
0	146	1	1	0	0
131	2	5	5	5	0
146	1	0	0	1	0
6	2	2	137	1	0
141	2	2	1	2	0
2	53	3	2	88	0
1	3	1	142	1	0
138	7	0	1	2	0
16	131	0	1	0	0
141	0	1	3	3	0
0	141	1	6	1	0
148	0	1	0	0	0
148	0	0	0	1	0
148	0	0	1	0	0
148	0	1	0	0	0
138	0	1	5	5	0
5	2	0	1	141	0
146	0	1	2	0	0
25	123	0	0	1	0
146	0	1	1	1	0
0	128	1	17	3	0
147	0	0	0	2	0
139	1	1	4	4	0
130	3	1	1	14	0
9	1	0	4	135	0
148	1	0	0	0	0
145	1	1	2	0	0
0	1	0	1	147	0
135	4	8	1	1	0
4	1	142	1	1	0
4	143	0	0	2	0
142	5	1	1	0	0
5	0	2	0	142	0
131	7	1	5	5	0
148	0	0	1	0	0
148	0	0	1	0	0
5	140	2	1	1	0
140	1	0	7	1	0
26	1	0	119	3	0
146	1	1	1	0	0
1	4	1	141	2	0
148	1	0	0	0	0
143	0	4	1	1	0
147	0	0	1	1	0
3	8	132	1	5	0
147	0	0	1	1	0
8	139	1	0	1	0
125	7	1	1	15	0
147	1	0	0	1	0
20	2	1	0	126	0
138	0	5	6	0	0
147	1	0	1	0	0
0	0	0	1	148	0
144	4	1	0	0	0
1	1	0	1	146	0
5	1	141	0	2	0
148	0	0	1	0	0
